location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,hours_since_cleaning,hygiene_risk,inspection_month,inspection_day_of_week
Mihan,Mall Washroom,7.2,4.5,40.1,Yes,416,5,8.6,Medium,8,1
Hingna,Transit Washroom,5.5,4.8,43.3,Yes,540,4,22.1,Medium,6,6
Manish Nagar,Office Washroom,4.9,7.7,49.2,Yes,691,5,13.8,High,3,0
Mihan,Office Washroom,6.9,4.3,30.2,Yes,329,6,1.2,Medium,5,1
Sadar,Public Washroom,5.6,4.9,42.9,Yes,399,7,9.2,Medium,3,1
Wardha Road,Hospital Washroom,4.5,7.6,64.6,Yes,420,7,6.2,High,1,6
Wardha Road,Office Washroom,7.6,4.5,50.7,Yes,388,6,0.5,Medium,8,6
Civil Lines,Mall Washroom,5.0,8.1,57.6,No,261,11,4.8,High,5,4
Manish Nagar,Public Washroom,7.9,4.4,43.5,Yes,298,4,9.9,Medium,3,6
Manish Nagar,Office Washroom,5.8,3.2,65.4,Yes,491,5,7.7,Medium,4,4
Wardha Road,School Washroom,8.7,2.5,4.0,Yes,540,2,5.4,Low,1,3
Kamptee Road,Public Washroom,8.0,4.5,52.0,Yes,304,4,3.2,Low,8,0
Sitabuldi,Transit Washroom,7.2,6.5,36.4,Yes,202,3,1.3,Medium,8,5
Dharampeth,Public Washroom,2.4,8.0,75.9,Yes,697,8,3.1,High,7,6
Manish Nagar,Transit Washroom,2.9,9.7,60.6,Yes,573,8,10.6,High,7,2
Nagpur Central,Public Washroom,7.3,1.3,37.8,Yes,209,2,10.1,Low,4,5
Nagpur Central,Public Washroom,7.3,4.6,23.7,Yes,188,3,8.2,Low,5,2
Manish Nagar,Mall Washroom,7.6,3.5,17.4,No,260,5,4.9,Medium,8,2
Wardha Road,School Washroom,4.4,3.4,68.0,Yes,236,5,0.5,Medium,3,0
Nagpur Central,Hospital Washroom,8.9,2.6,16.7,Yes,397,3,18.2,Low,7,3
Wardha Road,Mall Washroom,5.7,7.1,58.8,Yes,497,5,10.9,High,6,0
Nagpur Central,Office Washroom,5.7,5.6,40.1,Yes,253,6,3.2,Medium,3,6
Kamptee Road,Transit Washroom,4.6,6.3,47.9,No,449,9,0.8,High,4,1
Mihan,Public Washroom,7.5,2.3,2.4,Yes,350,0,12.2,Low,8,6
Sitabuldi,Mall Washroom,7.1,4.4,51.0,Yes,452,0,1.1,Low,6,3
Sitabuldi,Office Washroom,8.4,1.9,48.2,Yes,663,5,8.7,Low,6,6
Nagpur Central,Mall Washroom,6.9,4.5,31.0,Yes,71,3,11.2,Low,2,2
Dharampeth,Transit Washroom,5.8,4.7,49.4,Yes,428,5,8.3,Medium,2,3
Wardha Road,Office Washroom,7.5,6.2,39.7,Yes,617,7,14.0,Medium,6,6
Kamptee Road,Office Washroom,4.7,7.7,40.4,Yes,347,6,12.8,High,1,3
Wardha Road,Mall Washroom,5.4,2.3,64.5,Yes,754,8,9.7,Medium,9,1
Kamptee Road,Office Washroom,4.4,5.4,54.4,No,516,10,3.6,High,4,0
Dharampeth,Hospital Washroom,3.7,8.5,62.5,Yes,656,6,5.1,High,1,2
Kamptee Road,School Washroom,7.6,2.1,34.1,Yes,400,0,13.8,Low,4,6
Dharampeth,School Washroom,5.5,8.0,54.5,Yes,507,5,4.8,High,9,2
Sitabuldi,Public Washroom,5.3,3.9,62.1,Yes,568,6,6.7,Medium,2,6
Hingna,Hospital Washroom,5.6,6.1,59.9,Yes,833,4,2.0,Medium,5,2
Dharampeth,Hospital Washroom,7.4,1.9,38.3,Yes,252,3,11.0,Low,2,2
Hingna,Transit Washroom,5.0,6.1,60.2,Yes,410,5,13.3,High,4,3
Mihan,Office Washroom,6.4,4.3,37.1,Yes,502,4,10.4,Medium,9,3
Dharampeth,School Washroom,5.8,6.7,32.3,Yes,421,7,5.8,Medium,8,6
Sitabuldi,School Washroom,6.8,1.8,49.3,Yes,563,4,8.1,Medium,6,4
Mihan,Transit Washroom,4.9,6.6,39.7,Yes,669,4,5.1,Medium,8,5
Manish Nagar,Hospital Washroom,5.6,6.3,38.4,Yes,20,4,7.2,Medium,6,1
Dharampeth,School Washroom,8.8,2.9,32.1,Yes,581,3,6.6,Low,7,1
Dharampeth,Hospital Washroom,3.8,6.5,78.7,Yes,342,6,7.8,High,2,4
Mihan,Transit Washroom,7.3,4.2,32.5,Yes,415,2,4.1,Low,1,6
Wardha Road,School Washroom,6.2,5.9,47.9,Yes,386,5,5.0,Medium,4,3
Kamptee Road,Office Washroom,3.2,7.8,62.9,Yes,687,5,4.3,High,2,6
Civil Lines,Public Washroom,6.5,4.4,47.7,No,301,8,10.2,High,2,1
Manish Nagar,School Washroom,5.1,5.3,40.3,Yes,320,7,3.2,Medium,9,2
Nagpur Central,Mall Washroom,8.0,2.4,19.6,Yes,427,4,8.4,Low,4,4
Civil Lines,Mall Washroom,5.3,3.2,45.7,No,359,4,10.2,High,8,1
Hingna,School Washroom,7.3,2.6,24.1,Yes,505,4,8.7,Low,6,2
Hingna,Office Washroom,4.9,8.3,66.6,Yes,488,6,13.0,High,5,4
Hingna,Mall Washroom,5.2,6.4,61.2,Yes,544,4,6.2,Medium,8,2
Mihan,Public Washroom,7.5,3.0,34.0,Yes,482,1,2.4,Low,1,3
Dharampeth,School Washroom,5.5,8.1,62.7,Yes,406,6,23.3,High,7,0
Mihan,Public Washroom,9.3,1.0,22.6,Yes,512,0,20.3,Low,5,5
Hingna,Office Washroom,5.9,5.1,56.0,Yes,290,6,3.7,Medium,5,4
Wardha Road,Transit Washroom,7.1,4.5,52.9,Yes,385,2,6.7,Medium,2,4
Manish Nagar,Public Washroom,6.5,2.8,53.3,No,805,5,3.4,Medium,7,2
Kamptee Road,School Washroom,3.9,4.9,89.3,Yes,508,9,0.5,High,5,6
Hingna,Public Washroom,5.0,4.8,89.9,Yes,472,5,15.1,High,8,5
Mihan,Mall Washroom,8.0,2.3,40.7,Yes,406,3,13.0,Low,3,1
Mihan,Mall Washroom,7.7,2.3,56.1,Yes,473,2,0.6,Low,9,2
Hingna,Transit Washroom,3.3,9.0,66.5,Yes,20,6,13.0,High,6,1
Mihan,Mall Washroom,4.3,6.5,45.8,Yes,304,3,7.7,Medium,4,6
Civil Lines,Mall Washroom,7.7,4.3,24.3,Yes,292,0,1.3,Low,3,6
Manish Nagar,Office Washroom,5.9,2.5,66.6,Yes,512,4,1.4,Medium,6,2
Dharampeth,School Washroom,8.0,3.6,19.3,Yes,562,3,6.3,Low,4,1
Wardha Road,Office Washroom,6.5,5.1,64.1,Yes,240,5,2.3,Medium,2,6
Sadar,Hospital Washroom,7.3,3.5,33.4,No,199,5,4.5,Medium,4,2
Sadar,School Washroom,5.6,5.0,67.5,Yes,614,4,36.0,High,5,0
Dharampeth,Public Washroom,7.8,5.3,69.4,Yes,538,4,4.5,Medium,8,6
Civil Lines,Hospital Washroom,8.9,1.0,27.4,No,308,5,3.6,Low,8,2
Nagpur Central,Hospital Washroom,8.6,3.1,55.3,Yes,593,1,3.3,Low,1,5
Civil Lines,Office Washroom,4.6,5.1,60.2,No,374,8,16.7,High,1,3
Wardha Road,Public Washroom,6.3,6.2,71.3,Yes,238,4,2.9,Medium,3,6
Civil Lines,Hospital Washroom,6.2,6.3,44.0,No,389,9,4.2,High,5,4
Nagpur Central,Office Washroom,4.4,6.5,74.0,Yes,739,4,22.5,High,8,4
Nagpur Central,School Washroom,4.9,6.7,66.0,Yes,407,8,4.3,High,9,4
Sitabuldi,Office Washroom,4.5,8.1,45.3,Yes,453,6,15.1,High,5,1
Kamptee Road,Transit Washroom,7.0,4.0,13.0,Yes,351,2,36.0,Medium,1,5
Hingna,Hospital Washroom,8.2,5.5,28.6,Yes,688,2,3.0,Low,3,2
Mihan,Mall Washroom,10.0,1.0,0.0,Yes,481,1,13.3,Low,9,3
Sadar,Public Washroom,8.9,1.6,58.9,Yes,451,1,22.6,Low,3,6
Hingna,Hospital Washroom,9.1,2.2,9.3,Yes,419,0,6.9,Low,2,1
Dharampeth,Hospital Washroom,8.6,5.4,28.6,Yes,358,3,1.3,Low,3,4
Wardha Road,Transit Washroom,4.9,4.7,58.8,Yes,306,7,1.1,Medium,2,3
Hingna,Mall Washroom,7.0,5.3,30.6,Yes,542,3,0.7,Low,4,0
Mihan,Transit Washroom,7.3,3.4,38.1,Yes,277,3,8.7,Low,3,5
Sadar,Transit Washroom,4.8,5.0,55.0,No,658,9,4.9,High,6,2
Dharampeth,School Washroom,7.2,2.3,45.2,Yes,659,3,5.4,Low,7,4
Sitabuldi,School Washroom,5.1,4.5,55.9,Yes,598,7,5.3,Medium,4,3
Civil Lines,Hospital Washroom,8.2,4.1,32.3,Yes,291,5,10.6,Low,8,2
Kamptee Road,Public Washroom,4.1,9.3,68.6,Yes,289,7,30.2,High,8,1
Manish Nagar,Transit Washroom,9.2,2.4,19.5,Yes,95,1,15.2,Low,9,0
Dharampeth,Public Washroom,7.4,1.9,22.3,Yes,20,3,12.2,Low,4,2
Dharampeth,Hospital Washroom,6.9,3.8,31.4,Yes,307,3,2.1,Low,4,2
Mihan,Transit Washroom,6.5,3.8,37.4,No,481,5,10.1,Medium,1,6
Hingna,School Washroom,7.1,4.0,49.8,Yes,275,4,0.8,Low,8,0
Sadar,Mall Washroom,6.2,3.1,35.3,Yes,368,2,5.0,Low,9,0
Dharampeth,School Washroom,5.0,6.2,58.0,Yes,265,5,7.8,Medium,8,0
Civil Lines,Mall Washroom,4.4,5.3,48.2,Yes,505,4,9.7,Medium,4,3
Hingna,Mall Washroom,6.8,3.3,56.9,Yes,365,3,2.6,Medium,7,6
Sitabuldi,Office Washroom,5.4,4.6,16.7,Yes,531,4,1.7,Medium,9,5
Kamptee Road,Public Washroom,5.6,6.0,69.7,Yes,20,7,2.7,Medium,4,5
Hingna,Public Washroom,8.2,2.8,26.8,Yes,759,0,14.7,Low,6,0
Kamptee Road,Hospital Washroom,6.3,4.2,40.5,Yes,420,5,3.3,Medium,1,5
Dharampeth,Transit Washroom,9.4,1.0,30.8,Yes,216,4,0.5,Low,2,3
Sadar,Hospital Washroom,5.3,3.7,36.7,Yes,188,3,1.4,Medium,3,0
Dharampeth,Office Washroom,7.3,4.6,20.8,Yes,523,2,0.8,Low,3,3
Sitabuldi,Public Washroom,5.0,4.7,62.4,Yes,441,8,3.1,High,9,2
Hingna,School Washroom,6.1,6.9,30.1,Yes,587,2,10.5,Medium,3,3
Sitabuldi,Public Washroom,5.8,7.6,35.1,No,98,7,21.6,High,8,5
Sitabuldi,Transit Washroom,5.9,3.6,60.4,Yes,514,3,11.1,Medium,1,0
Kamptee Road,Hospital Washroom,7.2,5.5,44.2,Yes,287,2,2.6,Low,7,5
Kamptee Road,Transit Washroom,6.1,3.8,32.5,No,772,8,7.1,High,4,3
Manish Nagar,Public Washroom,7.9,3.6,11.1,Yes,722,1,3.9,Low,4,6
Kamptee Road,Hospital Washroom,8.1,3.2,25.5,Yes,73,2,36.0,Medium,6,1
Hingna,Transit Washroom,7.2,3.8,28.9,Yes,515,1,2.1,Low,6,4
Civil Lines,Mall Washroom,6.9,4.4,26.2,Yes,651,3,0.5,Low,6,1
Wardha Road,Hospital Washroom,5.6,6.6,52.0,Yes,422,3,9.4,Medium,4,3
Wardha Road,School Washroom,5.7,7.5,46.1,Yes,109,5,5.5,Medium,4,3
Sadar,School Washroom,8.1,4.6,41.9,Yes,498,4,16.5,Medium,9,1
Mihan,Mall Washroom,8.9,3.0,7.2,Yes,591,0,15.4,Low,8,4
Sadar,School Washroom,5.0,8.4,52.6,Yes,671,8,1.0,High,3,0
Nagpur Central,Transit Washroom,3.3,8.1,84.9,No,357,10,6.9,High,5,4
Civil Lines,School Washroom,6.9,4.8,51.0,No,346,9,11.7,High,3,5
Hingna,School Washroom,10.0,1.8,19.5,Yes,331,2,5.0,Low,1,4
Sitabuldi,Transit Washroom,7.6,1.9,25.6,No,478,4,9.5,Medium,3,0
Sadar,School Washroom,4.3,5.0,59.3,Yes,321,4,0.7,Medium,7,5
Nagpur Central,Transit Washroom,4.5,6.3,65.1,Yes,263,6,0.7,Medium,3,3
Civil Lines,Transit Washroom,4.2,5.2,56.9,Yes,725,8,0.7,High,1,2
Manish Nagar,Office Washroom,5.7,5.8,65.5,No,805,11,1.5,High,1,5
Wardha Road,School Washroom,6.5,6.5,55.0,Yes,275,4,7.0,Medium,1,0
Manish Nagar,Office Washroom,6.7,4.4,44.5,Yes,359,4,29.3,Medium,3,5
Manish Nagar,School Washroom,7.7,5.3,52.2,Yes,877,5,0.5,Medium,1,4
Sadar,Office Washroom,6.1,5.5,51.6,No,403,11,17.2,High,1,1
Dharampeth,School Washroom,6.4,2.9,21.0,Yes,446,5,0.9,Low,7,1
Sadar,Transit Washroom,7.2,5.6,40.8,No,707,7,6.6,High,2,5
Sadar,Transit Washroom,5.8,4.7,36.0,Yes,330,4,5.2,Medium,3,5
Sitabuldi,Public Washroom,5.4,8.8,42.9,Yes,818,7,24.4,High,5,4
Nagpur Central,Office Washroom,10.0,2.1,10.4,Yes,595,2,36.0,Low,5,0
Hingna,Office Washroom,5.3,5.6,36.3,Yes,340,5,1.1,Medium,5,6
Wardha Road,Hospital Washroom,2.7,6.2,68.9,Yes,732,8,2.3,High,5,2
Nagpur Central,Public Washroom,4.3,7.5,97.6,Yes,531,7,19.2,High,9,1
Kamptee Road,Public Washroom,5.5,4.3,69.8,Yes,220,5,5.8,Medium,2,0
Hingna,Office Washroom,3.7,9.2,52.6,Yes,850,10,3.5,High,7,4
Wardha Road,Office Washroom,8.2,1.0,35.4,Yes,418,5,1.6,Low,5,6
Nagpur Central,Hospital Washroom,6.6,5.9,52.9,Yes,397,3,5.1,Medium,7,6
Mihan,Office Washroom,3.4,7.7,70.1,No,413,11,7.6,High,9,0
Dharampeth,Office Washroom,7.4,1.8,28.8,Yes,312,1,0.5,Low,3,5
Kamptee Road,School Washroom,6.3,6.4,47.7,Yes,695,3,1.6,Medium,5,6
Manish Nagar,Public Washroom,1.1,10.0,92.3,Yes,176,7,2.9,High,7,1
Wardha Road,Public Washroom,5.5,4.2,37.3,No,713,8,1.9,High,8,1
Dharampeth,Office Washroom,8.4,1.7,34.3,No,667,1,1.9,Low,8,2
Manish Nagar,Office Washroom,7.0,5.1,57.1,Yes,548,7,4.2,Medium,6,6
Civil Lines,Transit Washroom,6.9,4.8,46.4,Yes,616,5,11.9,Medium,2,5
Sitabuldi,Public Washroom,5.6,5.6,44.8,No,467,6,18.6,High,2,1
Manish Nagar,School Washroom,9.2,3.0,11.8,Yes,373,1,8.5,Low,1,1
Civil Lines,Transit Washroom,4.3,7.7,39.6,Yes,663,5,7.3,High,8,5
Dharampeth,Public Washroom,6.4,5.5,51.1,Yes,691,5,6.6,Medium,2,2
Sitabuldi,Office Washroom,5.8,4.9,52.1,Yes,290,4,7.6,Medium,8,6
Manish Nagar,Transit Washroom,8.4,2.9,29.6,Yes,202,1,7.9,Low,7,4
Nagpur Central,Office Washroom,8.9,1.0,29.1,Yes,581,4,3.5,Low,3,0
Dharampeth,Hospital Washroom,6.5,2.0,42.3,Yes,301,4,1.7,Low,4,1
Hingna,Hospital Washroom,7.2,5.2,31.6,Yes,199,2,14.3,Medium,6,2
Sadar,School Washroom,5.7,6.0,63.8,Yes,579,6,0.5,Medium,4,5
Wardha Road,Public Washroom,5.4,4.9,50.1,Yes,20,5,10.1,Medium,1,6
Nagpur Central,Public Washroom,7.6,3.7,35.1,Yes,393,4,6.6,Low,7,5
Manish Nagar,Public Washroom,6.9,5.1,42.0,Yes,598,4,14.1,Medium,4,2
Mihan,Office Washroom,7.7,5.2,35.5,Yes,454,3,20.6,Medium,6,5
Sitabuldi,Office Washroom,5.1,6.8,64.2,Yes,666,4,7.3,High,3,0
Nagpur Central,Transit Washroom,7.6,3.6,24.8,Yes,220,4,28.3,Medium,5,2
Sadar,Mall Washroom,3.2,6.5,71.0,Yes,549,7,7.4,High,9,1
Mihan,Transit Washroom,7.4,4.9,43.1,Yes,670,5,10.4,Medium,7,5
Sadar,Office Washroom,4.8,6.5,43.7,Yes,671,6,5.1,High,1,0
Wardha Road,Hospital Washroom,8.3,3.8,17.9,Yes,475,4,3.6,Low,3,6
Mihan,School Washroom,5.4,5.4,66.5,Yes,550,4,6.6,Medium,8,4
Dharampeth,Hospital Washroom,7.0,2.9,44.5,Yes,422,4,4.4,Low,5,5
Nagpur Central,Transit Washroom,7.7,2.7,15.1,Yes,426,2,2.4,Low,7,5
Sadar,Mall Washroom,7.3,4.0,45.1,Yes,298,6,8.6,Medium,5,3
Hingna,School Washroom,5.6,5.0,65.2,Yes,154,5,2.3,Medium,6,5
Sadar,Office Washroom,4.9,7.1,36.7,Yes,54,1,22.7,Medium,7,3
Wardha Road,Office Washroom,6.2,3.9,48.1,Yes,721,5,4.7,Medium,2,4
Civil Lines,Office Washroom,4.8,3.4,73.3,Yes,30,6,0.5,Medium,3,4
Wardha Road,Transit Washroom,5.3,7.7,33.8,Yes,430,3,1.9,Medium,6,2
Hingna,Office Washroom,7.8,5.5,35.4,No,739,10,3.0,High,7,0
Dharampeth,Mall Washroom,7.1,3.8,26.1,Yes,593,3,24.5,Medium,3,6
Manish Nagar,Office Washroom,5.2,5.5,54.0,Yes,288,5,0.5,Medium,7,4
Dharampeth,Office Washroom,6.7,6.2,46.1,Yes,462,5,1.4,Medium,3,6
Manish Nagar,School Washroom,4.9,4.7,54.3,Yes,853,5,1.0,Medium,4,3
Nagpur Central,Office Washroom,7.6,1.7,43.5,Yes,671,3,1.7,Low,4,1
Mihan,School Washroom,4.3,4.4,72.0,Yes,433,7,6.3,High,9,2
Hingna,Office Washroom,3.6,6.4,62.8,Yes,871,7,9.0,High,3,1
Hingna,Mall Washroom,4.8,7.0,76.3,Yes,188,7,9.0,High,2,2
Mihan,School Washroom,7.7,3.0,40.4,Yes,302,5,2.6,Low,4,2
Hingna,School Washroom,4.9,7.7,57.1,No,521,9,10.9,High,6,1
Sadar,School Washroom,7.1,4.7,41.2,Yes,444,2,8.4,Medium,7,4
Dharampeth,Public Washroom,6.8,5.2,43.3,Yes,644,6,4.7,Medium,8,1
Sitabuldi,Hospital Washroom,5.0,5.7,64.3,Yes,392,6,13.8,High,2,5
Wardha Road,Office Washroom,6.7,5.8,57.9,Yes,414,4,2.4,Medium,8,4
Hingna,Mall Washroom,6.5,4.8,39.1,Yes,293,5,13.6,Medium,2,6
Sadar,Office Washroom,3.9,6.9,71.2,Yes,482,4,19.8,High,7,5
Sitabuldi,Public Washroom,8.1,3.6,41.8,Yes,416,3,8.3,Low,3,4
Hingna,Public Washroom,10.0,1.0,15.4,Yes,298,0,1.7,Low,7,2
Civil Lines,Hospital Washroom,6.5,5.1,42.4,Yes,464,4,0.5,Medium,5,5
Manish Nagar,Public Washroom,7.7,5.9,40.6,Yes,458,2,34.9,Medium,3,6
Mihan,Public Washroom,2.1,6.7,76.1,No,117,9,8.9,High,6,4
Sadar,Public Washroom,8.7,1.4,40.2,Yes,197,3,2.0,Low,1,2
Sadar,Office Washroom,3.4,5.8,63.1,Yes,765,8,7.3,High,6,0
Sitabuldi,Hospital Washroom,7.1,2.6,52.2,Yes,328,0,4.4,Low,6,3
Wardha Road,Office Washroom,5.0,8.1,81.0,Yes,525,7,12.6,High,6,4
Civil Lines,School Washroom,5.0,6.1,61.5,No,824,9,8.9,High,4,4
Sitabuldi,Public Washroom,5.2,5.7,51.7,Yes,371,10,23.0,High,4,2
Manish Nagar,Office Washroom,8.3,3.5,43.0,Yes,504,5,4.2,Low,8,4
Dharampeth,Hospital Washroom,6.1,3.9,51.8,Yes,579,4,4.5,Medium,9,4
Nagpur Central,School Washroom,5.3,5.1,59.4,Yes,71,5,10.7,Medium,9,4
Mihan,Hospital Washroom,5.7,5.5,60.5,Yes,326,6,6.0,Medium,6,5
Nagpur Central,Public Washroom,8.1,1.6,42.6,Yes,591,4,1.3,Low,4,2
Civil Lines,Public Washroom,8.4,1.0,16.4,Yes,589,2,3.8,Low,6,6
Manish Nagar,Mall Washroom,4.5,6.2,63.6,No,217,10,1.6,High,8,2
Nagpur Central,Hospital Washroom,4.7,8.0,50.8,Yes,271,5,3.7,High,9,2
Manish Nagar,Office Washroom,7.1,2.6,22.7,Yes,325,2,4.6,Low,3,1
Kamptee Road,Office Washroom,2.7,6.4,78.9,Yes,400,9,7.8,High,2,2
Civil Lines,Hospital Washroom,5.4,6.2,47.5,Yes,337,3,5.7,Medium,7,2
Sadar,Mall Washroom,6.1,2.7,72.2,Yes,226,5,6.4,Medium,5,0
Kamptee Road,School Washroom,3.1,7.0,81.3,No,435,10,0.5,High,8,6
Civil Lines,Office Washroom,4.7,4.6,66.2,Yes,617,7,1.7,High,8,2
Mihan,Mall Washroom,10.0,1.2,16.5,Yes,439,0,17.4,Low,7,2
Mihan,School Washroom,7.2,3.5,33.5,Yes,362,3,1.0,Low,5,4
Dharampeth,Office Washroom,6.6,4.1,36.9,Yes,430,4,6.6,Medium,1,3
Wardha Road,Hospital Washroom,6.2,4.8,13.3,Yes,39,2,20.2,Medium,8,5
Wardha Road,Hospital Washroom,6.7,3.8,30.0,Yes,443,5,3.8,Medium,1,4
Sadar,Hospital Washroom,6.5,4.4,53.3,Yes,267,5,19.4,Medium,5,6
Nagpur Central,Mall Washroom,6.6,2.5,48.9,Yes,108,3,0.5,Low,6,6
Wardha Road,School Washroom,6.0,5.3,52.4,Yes,247,3,7.0,Medium,2,2
Manish Nagar,Transit Washroom,7.9,6.0,18.4,Yes,244,1,0.8,Low,7,4
Kamptee Road,School Washroom,6.8,4.9,22.7,Yes,393,5,5.3,Medium,6,3
Dharampeth,School Washroom,8.8,2.9,36.0,Yes,344,1,1.8,Low,2,6
Sitabuldi,Transit Washroom,6.9,4.1,51.1,Yes,345,3,2.5,Medium,3,3
Wardha Road,School Washroom,3.6,6.4,57.5,Yes,352,7,6.4,High,2,1
Dharampeth,Hospital Washroom,9.0,1.0,17.8,Yes,113,0,25.4,Low,5,2
Sitabuldi,Hospital Washroom,6.9,4.6,43.1,Yes,765,3,0.9,Medium,7,2
Sitabuldi,Transit Washroom,8.8,1.7,27.8,Yes,430,3,14.1,Low,7,0
Sadar,School Washroom,6.2,3.9,30.2,Yes,859,5,2.8,Medium,6,0
Dharampeth,Hospital Washroom,5.9,4.4,44.1,Yes,786,6,13.2,Medium,9,1
Nagpur Central,Hospital Washroom,6.8,6.2,40.4,Yes,552,3,9.1,Medium,7,6
Hingna,Hospital Washroom,8.1,4.6,48.0,Yes,20,5,10.0,Medium,9,0
Wardha Road,School Washroom,4.9,8.0,55.9,Yes,706,6,3.1,High,8,0
Manish Nagar,School Washroom,4.6,7.4,56.1,Yes,762,6,14.5,High,1,2
Nagpur Central,Hospital Washroom,7.0,3.0,23.8,Yes,20,3,1.8,Low,4,5
Dharampeth,Hospital Washroom,6.0,3.3,29.8,Yes,20,1,22.5,Medium,1,3
Hingna,Office Washroom,8.0,3.8,28.6,Yes,746,3,6.7,Low,3,2
Mihan,Mall Washroom,7.8,3.4,10.5,No,453,4,7.9,Medium,2,6
Nagpur Central,Transit Washroom,8.5,1.1,38.9,Yes,539,2,1.0,Low,4,6
Manish Nagar,Transit Washroom,4.2,6.0,60.8,Yes,789,4,1.5,High,8,1
Hingna,Transit Washroom,6.7,5.1,50.5,Yes,607,3,3.9,Medium,1,6
Dharampeth,Office Washroom,7.8,1.1,26.8,Yes,414,3,5.8,Low,4,4
Sitabuldi,Public Washroom,3.9,8.4,50.4,Yes,249,7,0.5,High,4,3
Sadar,Hospital Washroom,3.0,7.0,100.0,Yes,564,6,3.4,High,1,3
Wardha Road,Transit Washroom,5.9,8.1,58.6,No,356,10,1.1,High,9,2
Manish Nagar,Office Washroom,10.0,1.0,0.0,Yes,267,1,8.1,Low,3,5
Kamptee Road,Hospital Washroom,6.5,6.2,38.5,Yes,356,5,7.3,Medium,2,6
Dharampeth,Mall Washroom,6.2,6.7,54.2,No,637,9,8.5,High,4,2
Hingna,Office Washroom,6.0,4.5,2.4,Yes,504,5,8.0,Medium,3,2
Dharampeth,Hospital Washroom,5.0,8.1,30.8,Yes,821,4,2.4,Medium,7,1
Dharampeth,School Washroom,5.8,4.4,39.5,Yes,365,7,1.9,Medium,1,1
Dharampeth,Transit Washroom,7.7,3.2,56.0,Yes,315,5,5.6,Medium,9,1
Hingna,Office Washroom,4.6,5.4,75.4,Yes,416,7,0.5,High,6,4
Kamptee Road,Mall Washroom,4.6,8.2,77.5,Yes,375,6,14.2,High,1,0
Sadar,Mall Washroom,6.5,4.9,49.5,Yes,423,4,9.7,Medium,7,3
Manish Nagar,Mall Washroom,4.1,5.6,81.8,Yes,1018,7,5.2,High,4,1
Dharampeth,Office Washroom,8.4,4.6,0.0,Yes,393,3,0.6,Low,5,6
Mihan,School Washroom,5.7,5.1,43.5,Yes,923,8,0.5,Medium,3,2
Hingna,Mall Washroom,5.5,1.0,47.9,No,357,5,7.2,Medium,1,6
Civil Lines,School Washroom,4.7,6.0,80.3,No,418,11,36.0,High,1,3
Kamptee Road,Hospital Washroom,5.4,7.5,48.8,No,274,8,0.6,High,3,1
Manish Nagar,Hospital Washroom,8.3,2.3,17.5,Yes,576,2,18.4,Low,3,0
Mihan,Transit Washroom,8.8,1.2,24.0,Yes,280,0,19.2,Low,1,0
Wardha Road,Public Washroom,6.8,3.8,56.3,Yes,439,3,0.9,Medium,7,5
Nagpur Central,Office Washroom,8.9,3.3,31.6,Yes,303,2,1.0,Low,9,0
Mihan,Office Washroom,6.6,3.4,29.3,Yes,469,2,16.7,Medium,8,3
Nagpur Central,Office Washroom,6.1,6.3,65.0,Yes,687,4,0.9,Medium,5,1
Mihan,Transit Washroom,3.9,8.4,73.6,Yes,354,6,4.9,High,8,1
Sitabuldi,Public Washroom,5.1,3.9,56.7,Yes,432,2,3.8,Medium,7,6
Civil Lines,Mall Washroom,9.7,1.0,23.7,Yes,573,4,8.7,Low,8,5
Sadar,Hospital Washroom,7.5,5.0,35.3,Yes,632,5,7.2,Medium,4,0
Civil Lines,Office Washroom,6.8,1.6,51.3,Yes,424,3,1.7,Low,9,1
Sadar,Office Washroom,6.4,8.9,99.6,Yes,496,9,3.8,High,5,3
Hingna,School Washroom,4.0,7.8,69.8,Yes,468,6,2.7,High,6,0
Sadar,Hospital Washroom,5.4,6.9,59.0,Yes,591,7,21.5,High,8,0
Sitabuldi,Hospital Washroom,7.4,3.1,56.0,Yes,431,3,2.5,Low,8,6
Wardha Road,Hospital Washroom,8.9,3.3,17.7,Yes,459,2,6.0,Low,3,6
Sitabuldi,Mall Washroom,6.3,3.5,48.4,Yes,164,4,7.9,Medium,2,1
Dharampeth,Public Washroom,8.2,2.8,21.1,Yes,703,2,1.6,Low,8,0
Kamptee Road,Mall Washroom,8.9,1.5,16.9,Yes,666,2,5.7,Low,8,0
Dharampeth,School Washroom,7.2,3.8,65.9,Yes,928,3,16.9,Medium,8,1
Civil Lines,Public Washroom,8.2,3.4,43.3,Yes,321,2,6.9,Low,1,5
Sitabuldi,School Washroom,5.5,6.1,31.8,Yes,162,6,15.3,Medium,2,6
Kamptee Road,School Washroom,6.4,3.3,47.0,Yes,211,4,1.5,Low,1,0
Sitabuldi,Office Washroom,7.5,1.4,34.0,Yes,540,2,2.3,Low,3,0
Sadar,Transit Washroom,7.7,3.6,40.4,No,460,6,19.7,High,5,4
Sitabuldi,School Washroom,9.7,2.7,28.2,Yes,621,2,22.0,Low,5,5
Nagpur Central,Transit Washroom,7.7,2.7,52.2,Yes,401,3,3.3,Low,5,1
Civil Lines,Transit Washroom,4.9,4.7,34.4,No,124,6,8.7,High,5,1
Wardha Road,Office Washroom,7.0,5.4,34.7,Yes,562,3,14.7,Medium,8,1
